"Date","Price","Open","High","Low","Change %"
"Apr 16, 2018","305.350","314.750","314.750","305.300","0.02%"
"Apr 13, 2018","305.300","314.750","315.000","305.300","0.00%"
"Apr 12, 2018","305.300","315.250","315.250","305.300","0.00%"
"Apr 11, 2018","305.300","314.750","314.750","305.300","-0.02%"
"Apr 10, 2018","305.350","314.750","314.750","305.350","0.00%"
"Apr 09, 2018","305.350","305.850","315.250","305.350","0.00%"
"Apr 06, 2018","305.350","314.750","314.750","305.350","0.00%"
"Apr 05, 2018","305.350","314.750","315.250","305.350","0.00%"
"Apr 04, 2018","305.350","314.750","314.750","305.350","-0.02%"
"Apr 03, 2018","305.400","315.050","315.250","305.400","0.00%"
"Apr 02, 2018","305.400","305.400","305.400","305.400","0.00%"
"Mar 30, 2018","305.400","305.400","305.400","305.400","0.00%"
"Mar 29, 2018","305.400","315.050","315.050","305.400","0.00%"
"Mar 28, 2018","305.400","306.100","314.750","305.400","0.00%"
"Mar 27, 2018","305.400","306.100","315.250","305.400","0.00%"
"Mar 26, 2018","305.400","314.750","315.250","305.400","-0.02%"
"Mar 23, 2018","305.450","306.000","315.000","305.450","-2.95%"
"Mar 22, 2018","314.750","314.750","314.750","306.000","2.86%"
"Mar 21, 2018","306.000","306.100","306.100","306.000","0.18%"
"Mar 20, 2018","305.450","314.750","314.750","305.450","-0.18%"
"Mar 19, 2018","306.000","315.050","315.050","305.500","-0.02%"
"Mar 16, 2018","306.050","314.750","315.050","305.500","0.02%"
"Mar 15, 2018","306.000","314.750","314.750","305.450","-2.78%"
"Mar 14, 2018","314.750","314.750","315.250","305.500","-0.10%"
"Mar 13, 2018","315.050","315.250","315.250","306.000","0.00%"
"Mar 12, 2018","315.050","315.000","315.050","305.500","3.11%"
"Mar 09, 2018","305.550","306.100","315.250","305.550","-0.18%"
"Mar 08, 2018","306.100","306.100","314.750","305.550","0.18%"
"Mar 07, 2018","305.550","315.250","315.250","305.550","-0.18%"
"Mar 06, 2018","306.100","306.000","320.250","306.000","-2.90%"
"Mar 05, 2018","315.250","315.000","315.250","305.450","3.16%"
"Mar 02, 2018","305.600","306.150","315.250","305.600","0.00%"
"Mar 01, 2018","305.600","314.750","315.250","305.150","-0.02%"
"Feb 28, 2018","305.650","306.200","306.200","305.650","0.00%"
"Feb 27, 2018","305.650","315.250","315.250","305.650","-2.89%"
"Feb 26, 2018","314.750","314.750","314.750","305.700","2.96%"
"Feb 23, 2018","305.700","315.250","315.250","305.700","-0.02%"
"Feb 22, 2018","305.750","314.750","315.250","305.750","-0.16%"
"Feb 21, 2018","306.250","306.250","306.400","305.750","0.16%"
"Feb 20, 2018","305.750","314.750","314.750","305.750","0.00%"
"Feb 19, 2018","305.750","314.750","314.750","305.700","0.02%"
"Feb 16, 2018","305.700","314.750","314.750","305.700","0.00%"
"Feb 15, 2018","305.700","306.000","314.750","305.700","0.02%"
"Feb 14, 2018","305.650","314.750","314.750","305.250","0.00%"
"Feb 13, 2018","305.650","314.750","314.750","305.650","-0.15%"
"Feb 12, 2018","306.100","314.750","314.750","305.250","0.16%"
"Feb 09, 2018","305.600","314.750","315.000","305.600","-0.16%"
"Feb 08, 2018","306.100","314.750","314.750","305.550","0.16%"
"Feb 07, 2018","305.600","314.750","314.750","305.450","0.02%"
"Feb 06, 2018","305.550","306.000","314.750","305.550","0.00%"
"Feb 05, 2018","305.550","314.750","314.750","305.550","0.02%"
"Feb 02, 2018","305.500","306.000","307.050","305.500","-3.09%"
"Feb 01, 2018","315.250","314.750","315.250","305.500","3.21%"
"Jan 31, 2018","305.450","305.950","315.250","305.450","0.00%"
"Jan 30, 2018","305.450","306.000","306.000","305.450","0.00%"
"Jan 29, 2018","305.450","306.050","315.250","305.400","-3.11%"
"Jan 26, 2018","315.250","315.250","315.250","314.750","3.23%"
"Jan 25, 2018","305.400","315.250","315.250","305.400","0.02%"
"Jan 24, 2018","305.350","315.250","315.250","305.350","-0.02%"
"Jan 23, 2018","305.400","306.000","306.000","305.400","0.00%"
"Jan 22, 2018","305.400","315.250","315.250","305.400","-0.02%"
"Jan 19, 2018","305.450","306.000","306.000","305.450","0.00%"
"Jan 18, 2018","305.450","315.250","315.250","305.250","-0.02%"
"Jan 17, 2018","305.500","315.250","315.250","305.500","0.00%"
