Date,DJIA,S&P500,NASDAQ,DAX,FTSE100,HSI,KOSPI,NIFTY50
1999-07-28,10972.070313,1365.400024,2705.840088,5229.560059,6297.200195,13140.419922,944.4600220000001,
1999-07-29,10791.290039,1341.030029,2640.01001,5052.319824,6117.5,13117.839844,998.7100220000001,
1999-07-30,10655.150391,1328.719971,2638.48999,5101.870117,6231.899902,13186.860352,969.7199710000001,
1999-08-02,10645.959961,1328.050049,2623.6298829999996,5129.5,6288.299805,13435.429688,959.8099980000001,
1999-08-03,10677.30957,1322.180054,2587.98999,5107.680176,6250.700195,13473.839844,973.330017,
1999-08-04,10674.769531,1305.329956,2540.0,5119.370117,6235.399902,13591.019531,975.4500119999999,
1999-08-05,10793.820313,1313.709961,2565.830078,4978.450195,6101.600098,13254.339844,939.070007,
1999-08-06,10714.030273,1300.290039,2547.969971,5010.470215,6121.0,13167.05957,938.26001,
1999-08-09,10707.700195,1297.800049,2518.97998,5087.299805,6126.5,12945.469727,948.9699710000001,
1999-08-10,10655.150391,1281.430054,2490.110107,5000.870117,5978.399902,12596.709961,968.659973,
1999-08-11,10787.799805,1301.930054,2564.97998,5019.689941,6014.399902,12437.799805,944.080017,
1999-08-12,10789.389648,1298.160034,2549.48999,5127.430176,6153.299805,12779.75,949.349976,
1999-08-13,10973.650391,1327.680054,2637.810059,5219.430176,6245.100098,12608.179688,917.4699710000001,
1999-08-16,11046.790039,1330.77002,2645.280029,5257.100098,6235.399902,12894.780273,907.2800289999999,
1999-08-17,11117.080078,1344.160034,2671.22998,5259.910156,6166.5,12783.160156,873.7000119999999,
1999-08-18,10991.379883,1332.839966,2657.72998,5230.470215,6201.799805,12993.099609,868.9400019999999,
1999-08-19,10963.839844,1323.589966,2621.429932,5186.850098,6118.0,13403.589844,871.179993,
1999-08-20,11100.610352,1336.609985,2648.330078,5254.140136999999,6180.799805,13566.740234,878.3900150000001,
1999-08-23,11299.759766,1360.219971,2719.570068,5301.97998,6322.100098,13573.660156,917.580017,
1999-08-24,11283.299805,1363.5,2752.3701170000004,5324.02002,6315.100098,13633.870116999999,932.409973,
1999-08-25,11326.040039,1381.790039,2805.600098,5400.319824,6369.5,13479.129883000001,963.0,
1999-08-26,11198.450195,1362.01001,2774.6201170000004,5389.339844,6383.899902,13608.379883000001,959.8800050000001,
1999-08-27,11090.169922,1348.27002,2758.899902,5420.359863000001,6375.200195,13383.129883,960.2800289999999,
1999-08-30,10914.129883,1324.02002,2712.689941,5392.529785,,13688.660156,942.570007,
1999-08-31,10829.280273,1320.410034,2739.350098,5270.77002,6246.399902,13482.769531,937.8800050000001,
1999-09-01,10937.879883,1331.069946,2750.800049,5317.120117,6276.200195,13544.19043,905.5200199999999,
1999-09-02,10843.209961,1319.109985,2734.23999,5189.919922,6195.600098,13367.55957,898.9699710000001,
1999-09-03,11078.450195,1357.23999,2843.110107,5336.220215,6332.200195,13178.30957,910.6199949999999,
1999-09-07,11034.129883,1350.449951,2837.26001,5391.359863000001,6309.5,13396.089844,943.919983,
1999-09-08,11036.339844,1344.150024,2808.73999,5400.700195,6253.600098,13356.629883,936.929993,
1999-09-09,11079.400391,1347.660034,2852.02002,5436.859863000001,6260.600098,13854.879883000001,950.5300289999999,
1999-09-10,11028.429688,1351.660034,2887.060059,5483.950195,6191.0,13855.929688,961.9799800000001,
1999-09-13,11030.330078,1344.130005,2844.77002,5446.910156,6169.0,13860.849609,980.909973,
1999-09-14,10910.330078,1336.290039,2868.290039,5401.470215,6116.0,13804.030272999998,968.5399779999999,
1999-09-15,10801.419922,1317.969971,2814.169922,5387.180176,6067.700195,13430.599609,952.6900019999999,
1999-09-16,10737.459961,1318.47998,2806.719971,5304.419922,6014.600098,,916.159973,
1999-09-17,10803.629883,1335.420044,2869.6201170000004,5303.939941,6039.799805,13484.839844,925.2000119999999,
1999-09-20,10823.900391,1335.530029,2886.149902,5351.97998,6056.5,13472.370116999999,933.8800050000001,
1999-09-21,10598.469727,1307.579956,2821.100098,5282.759765999999,5957.299805,13420.459961,957.419983,
1999-09-22,10524.070313,1310.51001,2858.159912,5238.759765999999,5913.899902,13187.620117,941.570007,
1999-09-23,10318.589844,1280.410034,2749.830078,5299.569824,5969.700195,13214.44043,,
1999-09-24,10279.330078,1277.359985,2740.409912,5186.529785,5937.600098,13032.070313,,
1999-09-27,10303.389648,1283.310059,2761.75,5239.640136999999,6078.600098,12760.459961,903.7899779999999,
1999-09-28,10275.530273,1282.199951,2756.25,5119.100098,6007.200195,12844.929688,900.7299800000001,
1999-09-29,10213.480469,1268.369995,2730.27002,5135.620117,6020.600098,12834.889648,868.8800050000001,
1999-09-30,10336.950195,1282.709961,2746.159912,5149.830078,6029.799805,12733.240234,836.179993,
1999-10-01,10273.0,1282.810059,2736.850098,5124.549805,5970.700195,,839.349976,
1999-10-04,10401.230469,1304.599976,2795.969971,5218.859863000001,6052.899902,12875.860352,818.369995,
