Date,S&P500,DJIA,DAX,FTSE100,HSI,KOSPI,NIFTY50
2008-04-28,1396.369995,12871.75,6925.330078,6090.399902,25666.289063,1823.1700440000002,5089.649902
2008-04-29,1390.939941,12831.94043,6885.339844,6089.399902,25914.150391,1811.5100100000002,5195.5
2008-04-30,1385.589966,12820.129883,6948.819823999999,6087.299805,25755.349609,1825.469971,5165.899902
2008-05-01,1409.339966,13010.0,,6087.299805,,,
2008-05-02,1413.900024,13058.200195,7043.22998,6215.5,26241.019531,1848.27002,5228.200195
2008-05-05,1407.48999,12969.540039,7052.080078,,26183.949219,,5192.25
2008-05-06,1418.26001,13020.830078,7017.100098000001,6215.299805,26262.130859,1859.060059,5144.649902
2008-05-07,1392.569946,12814.349609,7076.25,6261.0,25610.210938,1854.0100100000002,5135.5
2008-05-08,1397.680054,12866.780273,7071.899901999999,6270.799805,25449.789063,1848.0,5081.700195
2008-05-09,1388.280029,12745.879883,7003.169922,6204.700195,25063.169922,1823.699951,4982.600098
2008-05-12,1403.579956,12876.30957,7035.950195,6220.700195,,,5012.649902
2008-05-13,1403.040039,12832.179688,7060.189941,6211.899902,25552.769531,1842.800049,4957.799805
2008-05-14,1408.660034,12898.379883,7083.240234000001,6216.0,25533.480469,1843.75,5011.75
2008-05-15,1423.569946,12992.660156,7081.049805,6251.799805,25513.710938,1885.709961,5115.25
2008-05-16,1425.349976,12986.799805,7156.549805,6304.299805,25618.859375,1888.880005,5157.700195
2008-05-19,1426.630005,13028.160156,7225.939941,6376.5,25742.230469,1885.369995,
2008-05-20,1413.400024,12828.679688,7118.5,6191.600098,25169.460938,1873.1500239999998,5104.950195
2008-05-21,1390.709961,12601.19043,7040.830078,6198.100098,25460.289063,1847.5100100000002,5117.649902
2008-05-22,1394.349976,12625.620117,7070.330078,6181.600098,25043.119141,1835.4200440000002,5025.450195
2008-05-23,1375.930054,12479.629883,6944.049805,6087.299805,24714.070313,1827.939941,4946.549805
2008-05-27,1385.349976,12548.349609,6958.660156,6058.5,24282.039063,1825.22998,4859.799805
2008-05-28,1390.839966,12594.030273,7033.839844,6069.600098,24249.509766,1805.640015,4918.350098
2008-05-29,1398.26001,12646.219727,7055.029785,6068.100098,24383.990234,1841.219971,4835.299805
2008-05-30,1400.380005,12638.320313,7096.790039,6053.5,24533.119141,1852.02002,4870.100098
2008-06-02,1385.670044,12503.820313,7008.77002,6007.600098,24831.359375,1847.530029,4739.600098
2008-06-03,1377.650024,12402.849609,7019.129883,6057.700195,24375.759766,1819.390015,4715.899902
2008-06-04,1377.199951,12390.480469,6965.430176000001,5970.100098,24123.25,1833.810059,4585.600098
2008-06-05,1404.050049,12604.450195,6941.830078,5995.299805,24255.289063,1832.310059,4676.950195
2008-06-06,1360.680054,12209.80957,6803.810059,5906.799805,24402.179688,,4627.799805
2008-06-09,1361.76001,12280.320313,6815.629883,5877.600098,,1808.959961,4500.950195
2008-06-10,1358.439941,12289.759766,6771.100098000001,5827.299805,23375.519531,1774.380005,4449.799805
2008-06-11,1335.48999,12083.769531,6650.259765999999,5723.299805,23327.599609,1781.6700440000002,4523.600098
2008-06-12,1339.869995,12141.580078,6714.52002,5790.5,23023.859375,1739.359985,4539.350098
2008-06-13,1360.030029,12307.349609,6765.319823999999,5802.799805,22592.300781,1747.3499760000002,4517.100098
2008-06-16,1360.140015,12269.080078,6729.879883,5794.600098,23029.689453,1760.819946,4572.5
2008-06-17,1350.930054,12160.299805,6796.160156,5861.899902,23057.990234,1750.709961,4653.0
2008-06-18,1337.810059,12029.05957,6728.910156,5756.899902,23325.800781,1774.130005,4582.399902
2008-06-19,1342.829956,12063.089844,6721.169922,5708.399902,22797.609375,1740.719971,4504.25
2008-06-20,1317.930054,11842.69043,6578.439941,5620.799805,22745.599609,1731.0,4347.549805
