DATE,PRICE
2/28/2013,146555.0013
3/29/2013,150267.4474
4/30/2013,143095.273
5/31/2013,140809.6247
6/28/2013,118407.3098
7/31/2013,129287.6419
8/30/2013,136845.8826
9/30/2013,130162.8125
10/31/2013,129897.6206
11/29/2013,128263.3328
12/31/2013,126598.9674
1/31/2014,127583.2167
2/28/2014,135389.2055
3/31/2014,133030.8548
4/30/2014,131620.2671
5/30/2014,127232.1164
6/30/2014,133216.0654
7/31/2014,132168.6728
8/29/2014,133570.1317
9/30/2014,133443.9579
10/31/2014,130518.2413
11/28/2014,140374.6809
12/31/2014,144593.3568
1/30/2015,148035.2616
2/27/2015,145127.6278
3/31/2015,142350.9605
4/30/2015,141240.5153
5/29/2015,147846.7542
6/30/2015,143289.4036
7/31/2015,136086.2438
8/31/2015,137544.9722
9/30/2015,133418.2093
10/30/2015,137853.0546
11/30/2015,130911.0187
12/31/2015,127512.6981
1/29/2016,134600.0291
2/29/2016,139389.3265
3/31/2016,139032.6014
4/29/2016,137558.105
5/31/2016,134427.9328
6/30/2016,135495.7377
7/29/2016,137534.8503
8/31/2016,135422.2706
9/30/2016,133922.9617
10/31/2016,133668.1091
11/30/2016,134238.5785
12/30/2016,133652.0288
1/31/2017,136530.9343
2/28/2017,140482.7827
3/31/2017,138713.6101
4/28/2017,141171.1583
5/31/2017,140022.7108
6/30/2017,139579.1918
7/31/2017,140057.9095
8/31/2017,144371.2018
9/29/2017,144432.1186
10/31/2017,144327.1202
11/30/2017,143260.774
12/29/2017,145431.1421
1/31/2018,146818.9098
2/28/2018,140621.1509
3/30/2018,140791.4198
4/30/2018,143696.8886
5/31/2018,141819.7205
6/29/2018,138506.0881
